メッシ?,population,A29_004,A29_005,Shigaika,Chosei,distance,emRoad,L01_100,L02_094,LandPrice
52371338995,,,,,3,5221.852786,,,,
52371338996,,,,,3,5326.647238,,,,
52371342914,24.79,,,,3,2043.307404,,,,
52371342915,19.88,,,,3,2047.263909,,,,
52371342908,,,,,3,1958.40232,,,,
52371342909,,,,,3,1970.189269,,,,
52371338993,,,,,3,5013.529383,,,,
52371338994,,,,,3,5117.471565,,,,
52371340958,11.75,,,,3,1501.188032,,,,
52371338997,,,,,3,5444.107745,,,,
52371338986,,,,,3,5323.270079,,,,
52371338990,,,,,3,4704.627426,,,,
52371342916,16.57,,,,3,2045.549936,,,,
52371342917,3,,,,3,2045.779782,,,,
52371340956,1.9,,,,3,1305.613027,,,,
52371340957,7.62,,,,3,1402.142443,,,,
52371340975,,,,,3,1331.262936,,,,
52371340964,,,,,3,1184.565634,,,,
52371338998,,,,,3,5572.125258,,,,
52371340954,,,,,3,1122.684831,,,,
52371338991,,,,,3,4807.07592,,,,
52371338992,,,,,3,4910.054118,,,,
52371340973,6,,,,3,1174.918055,,,,
52371340974,,,,,3,1250.301969,,,,
52371340976,,,,,3,1416.845241,,,,
52371340977,5.33,,,,3,1506.261377,,,,
52371340965,,,,,3,1269.725868,,,,
52371340966,,,,,3,1359.189289,,,,
52371340955,,,,,3,1212.201023,,,,
52371340968,17.63,,,,3,1548.008474,,,,
52371340984,,,,,3,1319.172172,,,,
52371340985,,,,,3,1396.144394,,,,
52371227969,,,,,3,2110.030874,,,,
52371227962,3.26,,,,3,2849.877473,,,,
52371340978,7.45,,,,3,1598.868266,,,,
52371340979,164,,,,3,1694.14275,,,,
52371340967,2.67,,,,3,1452.160803,,,,
52371340983,,,,,3,1247.956096,,,,
52371227967,,,,,3,2317.26985,,,,
52371227968,2.68,,,,3,2213.11792,,,,
52371227977,13.39,,,,3,2281.41827,,,,
52371227970,9.78,,,,3,3039.906414,,,,
52371227963,1.71,,,,3,2742.081953,,,,
52371227964,3.43,,,,3,2634.845938,,,,
52371227957,,,,,3,2356.202898,,,,
52371227966,,,,,3,2422.349304,,,,
52371227975,,,,,3,2495.419861,,,,
52371227976,10.29,,,,3,2388.074741,,,,
52371227985,3.43,,,,3,2465.594253,,,,
52371227978,,,,,3,2175.551741,,,,
52371227971,,,,,3,2930.166161,,,,
52371227972,6.52,,,,3,2820.798468,,,,
52371227965,,,,,3,2528.240629,,,,
52371227974,3.43,,,,3,2603.368442,,,,
52371366912,,,,,3,4672.177556,,,,
52371366905,,,,,3,4759.977587,,,,
52371366914,,,,,3,4781.339053,,,,
52371366915,,,,,3,4839.056001,,,,
52371366908,,,,,3,4947.757398,,,,
52371366917,,,,,3,4960.397408,,,,
52371366910,,,,,3,4571.873695,,,,
52371366911,,,,,3,4620.881178,,,,
52371366920,,,,,3,4656.087923,,,,
52371366913,,,,,3,4725.688295,,,,
52371364994,,,,,3,4855.978306,,,,
52371364995,,,,,3,4882.411623,,,,
52371366916,,,,,3,4898.76611,,,,
52371364997,,,,,3,4911.172324,,,,
52371366918,,,,,3,5023.879192,,,,
52371366919,,,,,3,5089.142216,,,,
52371365900,27.26,,,,3,4132.555181,,,,
52371364993,,,,,3,4829.809822,1,,,
52371365902,9.32,,,,3,4181.088784,,,,
52371365903,3.11,,,,3,4209.813375,,,,
52371364996,,,,,3,4902.622929,1,,,
52371365905,3.11,,,,3,4275.878698,,,,
52371364998,,,,,3,4922.367272,,,,
52371364999,2.7,,,,3,4936.189776,,,,
52371365908,,,,,3,4395.503709,,,,
52371365901,12.12,,,,3,4155.317635,,,,
52371365910,6.06,,,,3,4223.403909,,,,
52371365911,24.23,,,,3,4245.679131,,,,
52371365904,15.53,,,,3,4241.431407,,,,
52371365913,,,,,3,4299.029106,,,,
52371365906,,,,,3,4313.087461,,,,
52371365907,3.38,,,,3,4352.986888,,,,
52371365916,,,,,3,4400.208864,,,,
52371365909,3.38,,,,3,4440.562748,,,,
52371365918,20.28,,,,3,4481.022294,,,,
52371365919,33.79,,,,3,4525.229468,,,,
52371365912,9.09,,,,3,4270.904842,,,,
52371365921,42.41,,,,3,4336.236078,,,,
52371365914,,,,,3,4329.995448,,,,
52371365915,,,,,3,4363.743366,,,,
52371365924,9.23,,,,3,4418.824075,,,,
52371365917,10.14,,,,3,4439.324977,,,,
52371366954,6.5,,,,3,5105.915294,1,,,
52371366955,,,,,3,5160.000937,,,,
52371365920,18.17,,,,3,4314.42861,,,,
52371365929,,,,,3,4610.296237,,,,
52371365922,42.45,,,,3,4360.937782,,,,
52371365923,15.38,,,,3,4388.484851,,,,
52371366960,27.37,,,,3,4995.580971,1,,,
52371366953,,,,,3,5053.841887,1,,,
52371366962,11.5,,,,3,5087.533747,1,,,
52371366963,3.83,,,,3,5136.717101,,,,
52371366956,,,,,3,5216.036223,,,,
52371366965,,,,,3,5241.196824,,,,
52371366958,,,,,3,5333.707811,,,,
52371366959,,,,,3,5395.22196,,,,
52371366968,,,,,3,5412.296749,,,,
52371366961,42.01,,,,3,5040.468416,1,,,
52371366970,2.6,,,,3,5081.089533,,,,
52371366971,,,,,3,5125.227727,,,,
52371366964,,,,,3,5187.958244,,,,
52371366973,,,,,3,5219.912908,,,,
52371366966,,,,,3,5296.372609,,,,
52371366967,,,,,3,5353.425706,,,,
52371366976,,,,,3,5377.097285,,,,
52371366969,5.33,,,,3,5472.927074,,,,
52371366978,,,,,3,5491.316476,,,,
52371366979,2.67,,,,3,5551.083226,,,,
52371366972,,,,,3,5171.521299,,,,
52371366981,5.2,,,,3,5210.349818,,,,
52371366974,,,,,3,5270.344763,,,,
52371366975,,,,,3,5322.758877,,,,
52371366984,,,,,3,5353.158478,,,,
52371366977,,,,,3,5433.302255,,,,
52371365958,,,,,3,4825.850546,,,,
52371365959,2.77,,,,3,4866.925065,,,,
52371366980,2.6,,,,3,5166.939233,,,,
52371365961,13.68,,,,3,4698.906538,1,,,
52371366982,,,,,3,5255.893269,,,,
52371366983,,,,,3,5303.514639,,,,
52371365964,5.97,,,,3,4775.223562,1,,,
52371365957,8.7,,,,3,4787.159149,,,,
52371365966,20.89,,,,3,4838.978166,1,,,
52371365967,20.89,,,,3,4874.573007,1,,,
52371365960,19.89,,,,3,4678.790435,1,,,
52371365969,8.88,,,,3,4952.930621,1,,,
52371365962,20.52,,,,3,4721.710519,1,,,
52371365963,,,,,3,4747.163647,1,,,
52371365972,28.71,,,,3,4812.090612,,,,
52371365965,8.95,,,,3,4805.844608,1,,,
52371365974,,,,,3,4864.609072,,,,
52371365975,,,,,3,4894.670685,,,,
52371365968,38.05,,,,3,4912.575632,1,,,
52371365977,8.95,,,,3,4962.168343,,,,
52371365970,47.06,,,,3,4769.984192,,,,
52371365971,19.83,,,,3,4789.717145,,,,
52371365980,5.89,,,,3,4861.333869,,,,
52371365973,3.19,,,,3,4837.067956,,,,
52371365982,27.68,,,,3,4902.655448,,,,
52371365983,35.81,,,,3,4927.173499,,,,
52371365976,11.94,,,,3,4927.206665,,,,
52371365985,9.08,,,,3,4983.734383,,,,
52371365978,2.98,,,,3,4999.504834,,,,
52371365979,,,,,3,5039.163353,,,,
52371365988,6.22,,,,3,5086.732389,,,,
52371365981,19.14,,,,3,4880.697342,,,,
52371340987,,,,,3,1563.897897,,,,
52371340988,1.86,,,,3,1653.278622,,,,
52371365984,2.98,,,,3,4954.213493,,,,
52371365993,13.38,,,,3,5017.25918,,,,
52371365986,15.18,,,,3,5015.692366,,,,
52371365987,8.95,,,,3,5050.041178,,,,
52371340994,,,,,3,1390.776052,,,,
52371340986,,,,,3,1477.973714,,,,
52371340996,2.67,,,,3,1542.220729,,,,
52371340997,,,,,3,1624.749997,,,,
52371340989,35.41,,,,3,1745.585011,,,,
52371340999,,,,,3,1800.304707,,,,
52371340992,,,,,3,1262.855028,,,,
52371340993,,,,,3,1323.419433,,,,
52371341905,,,,,3,1783.80875,,,,
52371340995,,,,,3,1463.987686,,,,
52371341907,9.4,,,,3,1806.394022,,,,
52371341908,18.45,,,,3,1828.356331,,,,
52371340998,,,,,3,1710.953914,,,,
52371341914,,,,,3,1875.236571,,,,
52371341903,,,,,3,1783.456029,,,,
52371341904,,,,,3,1782.706151,,,,
52371395920,0.69,,,,3,7073.642667,,,,
52371395929,,,,,3,7245.719411,,,,
52371395930,0.04,,,,3,7153.57514,,,,
52371395931,,,,,3,7166.256438,,,,
52371395916,,,,,3,7077.742177,,,,
52371395909,,,,,3,7066.69526,,,,
52371395910,0.42,,,,3,7068.394716,,,,
52371395911,,,,,3,7007.681949,,,,
52371395928,9,,,,3,7218.20069,,,,
52371395937,6.21,,,,3,7282.621688,,,,
52371395939,7.2,,,,3,7335.288053,,,,
52371395932,,,,,3,7181.226312,,,,
52371395924,,,,,3,7125.45358,,,,
52371395917,28.33,,,,3,7102.120072,,,,
52371395918,21,,,,3,7128.251059,,,,
52371395919,9,,,,3,7156.115935,,,,
52371389987,,,,,3,9053.678048,,,,
52371389988,,,,,3,9131.710883,,,,
52371389989,,,,,3,9210.503873,,,,
52371389982,,,,,3,8675.627058,,,,
52371395925,,,,,3,7146.006201,,,,
52371395926,,,,,3,7168.32607,,,,
52371395927,,,,,3,7192.396738,,,,
52371395936,,,,,3,7258.850423,,,,
52371389995,,,,,3,8969.299353,,,,
52371389996,,,,,3,9045.165239,,,,
52371389997,,,,,3,9121.835213,,,,
52371389990,,,,,3,8602.767893,,,,
52371395933,,,,,3,7197.983686,,,,
52371395934,,,,,3,7216.516108,,,,
52371395935,,,,,3,7236.809944,,,,
52371389986,,,,,3,8976.425189,,,,
52371394913,,,,,3,6846.935552,,,,
52371394914,,,,,3,6848.011194,,,,
52371394915,,,,,3,6868.394994,,,,
52371389998,,,,,3,9199.289173,,,,
52371389983,,,,,3,8749.552013,,,,
52371389984,,,,,3,8824.341127,,,,
52371389985,,,,,3,8899.972616,,,,
52371389994,,,,,3,8894.258131,,,,
52371395969,,,,,3,7604.511498,,,,
52371395970,,,,,3,7520.852188,,,,
52371395971,,,,,3,7533.380005,,,,
52371395964,,,,,3,7490.012937,,,,
52371389991,,,,,3,8674.295272,,,,
52371389992,,,,,3,8746.734334,,,,
52371389993,,,,,3,8820.062618,,,,
52371394905,,,,,3,6816.196245,,,,
52371395977,,,,,3,7644.155015,,,,
52371395978,,,,,3,7668.437913,,,,
52371395979,,,,,3,7694.345395,,,,
52371395972,,,,,3,7547.621325,,,,
52371395957,9.32,,,,3,7463.341353,,,,
52371395958,3.11,,,,3,7488.211052,,,,
52371395959,,,,,3,7514.740367,,,,
52371395968,,,,,3,7578.296681,,,,
52371395985,,,,,3,7691.625369,,,,
52371395986,,,,,3,7712.365301,,,,
52371395987,,,,,3,7734.741937,,,,
52371395980,,,,,3,7612.907449,,,,
52371395965,,,,,3,7509.567221,,,,
52371395966,3.11,,,,3,7530.80892,,,,
52371395967,,,,,3,7553.723798,,,,
52371395976,,,,,3,7621.512227,,,,
52371395993,,,,,3,7746.562827,,,,
52371395994,,,,,3,7763.785038,,,,
52371395995,,,,,3,7782.651018,,,,
52371395988,,,,,3,7758.741118,,,,
52371395973,,,,,3,7563.56647,,,,
52371395974,,,,,3,7581.204692,,,,
52371395975,,,,,3,7600.524206,,,,
52371395984,,,,,3,7672.535411,,,,
52371396901,,,,,3,7128.309025,,,,
52371396902,,,,,3,7161.659138,,,,
52371396903,,,,,3,7196.673713,,,,
52371395996,,,,,3,7803.148844,,,,
52371395981,,,,,3,7625.283936,,,,
52371395982,,,,,3,7639.353822,,,,
52371395983,,,,,3,7655.107771,,,,
52371395992,,,,,3,7730.995367,,,,
52371394977,,,,,3,7457.032383,,,,
52371394978,,,,,3,7481.005199,,,,
52371394979,,,,,3,7506.645177,,,,
52371394972,,,,,3,7362.705996,,,,
52371395989,,,,,3,7784.347839,,,,
52371395990,,,,,3,7704.863749,,,,
52371395991,,,,,3,7717.092671,,,,
52371396900,,,,,3,7096.646837,,,,
52371394986,3.89,,,,3,7525.653825,,,,
52371394987,7.78,,,,3,7547.674696,,,,
52371394988,,,,,3,7571.360317,,,,
52371394981,,,,,3,7449.764029,,,,
52371395997,,,,,3,7825.265697,,,,
52371395998,,,,,3,7848.987891,,,,
52371395999,,,,,3,7874.300919,,,,
52371394976,,,,,3,7434.742852,,,,
52371394995,28.6,,,,3,7596.396729,1,,,
52371394996,3.89,,,,3,7616.494775,,,,
52371394997,13.83,,,,3,7638.253574,,,,
52371394989,,,,,3,7596.695117,,,,
52371394973,,,,,3,7378.120758,,,,
52371394974,,,,,3,7395.273375,,,,
52371394975,,,,,3,7414.151788,1,,,
52371394985,9.56,,,,3,7505.312354,1,,,
52371396933,,,,,3,7460.585178,,,,
52371396934,,,,,3,7495.94867,,,,
52371396935,,,,,3,7532.8839,,,,
52371396928,,,,,3,7567.082107,,,,
52371394982,,,,,3,7454.49613,,,,
52371394983,,,,,3,7469.721353,,,,
52371394984,15.94,,,,3,7486.66397,,,,
52371394994,9.56,,,,3,7577.972648,,,,
52371396941,,,,,3,7483.589495,,,,
52371396942,,,,,3,7515.362036,,,,
52371396943,,,,,3,7548.734935,,,,
52371396936,,,,,3,7571.367869,,,,
52371396921,,,,,3,7305.822454,,,,
52371396922,,,,,3,7338.36529,,,,
52371396923,,,,,3,7372.540056,,,,
52371396932,,,,,3,7426.815874,,,,
52371396949,,,,,3,7781.35787,,,,
52371396950,,,,,3,7542.91179,,,,
52371396951,,,,,3,7572.706996,,,,
52371396944,,,,,3,7583.687069,,,,
52371396929,6,,,,3,7610.554774,,,,
52371396930,,,,,3,7364.146514,,,,
52371396931,,,,,3,7394.662597,,,,
52371396940,,,,,3,7453.437779,,,,
52371389962,,,,,3,8534.813073,,,,
52371389971,,,,,3,8531.368009,,,,
52371389972,,,,,3,8605.011775,,,,
52371389973,,,,,3,8679.538912,,,,
52371389958,,,,,3,8931.818785,,,,
52371389951,,,,,3,8390.08336,,,,
52371389952,,,,,3,8464.957817,,,,
52371389953,,,,,3,8540.708634,,,,
52371389970,,,,,3,8458.630686,,,,
52371389979,,,,,3,9144.025232,,,,
52371389980,,,,,3,8530.459221,,,,
52371389981,,,,,3,8602.588538,,,,
52371389966,,,,,3,8840.409591,,,,
52371389959,,,,,3,9041.313284,,,,
52371389960,,,,,3,8387.205458,,,,
52371389961,,,,,3,8460.55757,,,,
52371389978,,,,,3,9064.65363,,,,
52371388943,,,,,3,7750.536182,,,,
52371388944,2,,,,3,7818.144652,,,,
52371388945,,,,,3,7886.833433,,,,
52371389974,,,,,3,8754.926863,,,,
52371389967,,,,,3,8918.842183,,,,
52371389968,,,,,3,8998.045954,,,,
52371389969,,,,,3,9078.000722,,,,
52371388942,,,,,3,7684.036535,,,,
52371388951,7.8,,,,3,7695.019865,,,,
52371388952,2.6,,,,3,7759.737991,,,,
52371388953,,,,,3,7825.593743,,,,
52371388938,,,,,3,8027.672554,,,,
52371389975,,,,,3,8831.153586,,,,
52371389976,,,,,3,8908.197549,,,,
52371389977,,,,,3,8986.037734,,,,
52371388950,,,,,3,7631.468306,,,,
52371388959,,,,,3,8243.058764,,,,
52371388960,,,,,3,7708.888486,,,,
52371388961,,,,,3,7771.806388,,,,
52371388946,,,,,3,7956.574546,,,,
52371388939,,,,,3,8101.050463,,,,
52371388940,,,,,3,7554.480346,,,,
52371388941,,,,,3,7618.674746,,,,
52371388958,,,,,3,8170.957641,,,,
52371394927,,,,,3,7027.948309,,,,
52371394928,0.22,,,,3,7106.384841,,,,
52371394933,,,,,3,7021.890751,,,,
52371388954,,,,,3,7892.558646,,,,
52371388947,,,,,3,8027.340568,,,,
52371388948,,,,,3,8099.104633,,,,
52371388949,,,,,3,8171.84045,,,,
52371394926,,,,,3,6981.262015,1,,,
52371394939,0.36,,,,3,7157.441545,,,,
52371394942,,,,,3,7129.774197,,,,
52371394943,,,,,3,7106.418985,,,,
52371394916,,,,,3,6953.08713,,,,
52371389999,,,,,3,9277.507484,,,,
52371394903,,,,,3,6833.667873,,,,
52371394904,,,,,3,6764.808089,,,,
52371394938,0.13,,,,3,7120.468113,,,,
52371394949,,,,,3,7233.761985,,,,
52371394952,,,,,3,7190.420733,,,,
52371394953,,,,,3,7195.21063,,,,
52371394934,,,,,3,7030.337973,,,,
52371394923,,,,,3,6933.575051,,,,
52371394924,,,,,3,6939.211891,,,,
52371394925,,,,,3,6959.3284,,,,
52371394948,,,,,3,7210.487431,,,,
52371394959,,,,,3,7325.921311,,,,
52371394961,,,,,3,7352.214193,,,,
52371394962,,,,,3,7275.753477,,,,
52371394944,,,,,3,7121.497441,,,,
52371394935,,,,,3,7050.194309,,,,
52371394936,,,,,3,7071.84592,1,,,
52371394937,,,,,3,7095.276374,,,,
52371394958,,,,,3,7300.674953,,,,
52371394968,,,,,3,7390.812204,,,,
52371394969,,,,,3,7416.764216,,,,
52371394971,,,,,3,7362.176069,,,,
52371394954,,,,,3,7212.798521,,,,
52371394945,,,,,3,7141.100142,,,,
52371394946,,,,,3,7162.476775,1,,,
52371394947,,,,,3,7185.611512,,,,
52371394967,,,,,3,7366.545669,,,,
52371389911,,,,,3,8112.866242,,,,
52371389912,,,,,3,8190.278372,,,,
52371389913,,,,,3,8268.549032,,,,
52371394963,,,,,3,7286.653501,,,,
52371394955,,,,,3,7232.153593,1,,,
52371394956,,,,,3,7253.261702,1,,,
52371394957,,,,,3,7276.107593,,,,
52371389910,,,,,3,8036.33745,,,,
52371389923,,,,,3,8335.863741,,,,
52371389924,,,,,3,8414.335205,,,,
52371389925,,,,,3,8493.622991,,,,
52371389902,,,,,3,8122.807997,,,,
52371394964,,,,,3,7304.021062,,,,
52371394965,,,,,3,7323.134878,1,,,
52371394966,,,,,3,7343.981316,,,,
52371389922,,,,,3,8258.231868,,,,
52371389935,,,,,3,8560.244339,,,,
52371389936,,,,,3,8657.196825,,,,
52371389940,,,,,3,8245.522304,,,,
52371389914,,,,,3,8347.654073,,,,
52371389903,,,,,3,8201.72333,,,,
52371389904,,,,,3,8281.467493,,,,
52371389905,,,,,3,8362.016775,,,,
52371389934,,,,,3,8481.580139,,,,
52371395905,,,,,3,6964.417537,,,,
52371395906,,,,,3,6987.317879,,,,
52371395907,2.67,,,,3,7012.010364,,,,
52371389930,,,,,3,8175.371066,,,,
52371389915,,,,,3,8427.570003,,,,
52371389920,,,,,3,8105.583117,,,,
52371389921,,,,,3,8181.463482,,,,
52371395904,,,,,3,6943.327067,,,,
52371395913,,,,,3,7015.303213,,,,
52371395914,,,,,3,7034.317251,,,,
52371395915,,,,,3,7055.135545,,,,
52371394998,,,,,3,7661.658977,,,,
52371394991,,,,,3,7538.066706,,,,
52371394992,,,,,3,7546.194301,,,,
52371394993,,,,,3,7561.234766,,,,
52371395912,,,,,3,7000.164697,,,,
52371395921,,,,,3,7074.546592,,,,
52371395922,,,,,3,7089.710233,,,,
52371395923,,,,,3,7106.683538,,,,
52371395908,,,,,3,7038.476131,,,,
52371394999,,,,,3,7686.695946,,,,
52371395902,,,,,3,6945.080896,,,,
52371395903,,,,,3,6932.175282,,,,
52371397985,6.39,,,,3,8397.87106,,,,
52371397986,12.78,,,,3,8447.914133,,,,
52371397987,,,,,3,8499.202622,,,,
52371397980,5.71,,,,3,8167.118253,,,,
52371397965,9.11,,,,3,8231.460727,,,,
52371397966,22.36,,,,3,8282.510278,,,,
52371397967,15.97,,,,3,8334.817635,,,,
52371397976,35.13,,,,3,8365.060234,,,,
52371397993,6.07,,,,3,8386.012597,,,,
52371397994,,,,,3,8433.022024,,,,
52371397995,,,,,3,8481.314195,,,,
52371397988,,,,,3,8551.714123,,,,
52371397973,9.11,,,,3,8217.280353,,,,
52371397974,12.14,,,,3,8265.250417,,,,
52371397975,3.19,,,,3,8314.518019,,,,
52371397984,,,,,3,8349.095797,,,,
52371396973,,,,,3,7813.882823,,,,
52371396974,,,,,3,7847.6532,,,,
52371396975,,,,,3,7882.939413,,,,
52371396968,,,,,3,7911.302235,,,,
52371397981,,,,,3,8210.599857,,,,
52371397982,3.04,,,,3,8255.437995,,,,
52371397983,3.04,,,,3,8301.610688,,,,
52371397992,,,,,3,8340.307604,,,,
52371396981,,,,,3,7840.319916,,,,
52371396982,,,,,3,7870.651435,,,,
52371396983,,,,,3,7902.522912,,,,
52371396976,,,,,3,7919.721203,,,,
52371397989,10,,,,3,8605.426247,,,,
52371397990,6.07,,,,3,8252.896978,,,,
52371397991,,,,,3,8295.928601,,,,
52371396972,,,,,3,7781.648016,,,,
52371396989,5.71,,,,3,8125.014959,,,,
52371396990,,,,,3,7901.189494,,,,
52371396991,,,,,3,7929.63759,,,,
52371396984,,,,,3,7935.915797,,,,
52371396969,,,,,3,7952.891978,,,,
52371396970,,,,,3,7721.861111,,,,
52371396971,,,,,3,7750.967936,,,,
52371396980,,,,,3,7811.546293,,,,
52371398925,,,,,3,8487.511031,,,,
52371398926,,,,,3,8552.350268,,,,
52371398927,,,,,3,8618.220568,,,,
52371398920,,,,,3,8179.625306,,,,
52371396977,,,,,3,7957.977835,,,,
52371396978,,,,,3,7997.688145,,,,
52371396979,11.7,,,,3,8038.830593,,,,
52371396988,,,,,3,8084.311509,,,,
52371398933,,,,,3,8438.750786,,,,
52371398934,,,,,3,8500.882209,,,,
52371398935,,,,,3,8564.091344,,,,
52371398928,,,,,3,8685.098473,,,,
52371398913,,,,,3,8283.50087,,,,
52371398914,,,,,3,8346.789226,,,,
52371398915,,,,,3,8411.157671,,,,
52371398924,,,,,3,8423.726664,,,,
52371398941,,,,,3,8396.9652,,,,
52371398942,,,,,3,8456.307772,,,,
52371398943,,,,,3,8516.773808,,,,
52371398936,,,,,3,8628.354508,,,,
52371398921,,,,,3,8238.945743,,,,
52371398922,,,,,3,8299.419418,,,,
52371398923,,,,,3,8361.021308,,,,
52371398932,,,,,3,8377.721053,,,,
52371398949,,,,,3,8901.851156,,,,
52371398950,3.33,,,,3,8418.832403,,,,
52371398951,,,,,3,8476.477329,,,,
52371398944,,,,,3,8578.339553,,,,
52371398929,,,,,3,8752.96089,,,,
52371398930,,,,,3,8259.063894,,,,
52371398931,,,,,3,8317.817256,,,,
52371398940,,,,,3,8338.770076,,,,
52371398957,,,,,3,8845.56287,,,,
52371398958,,,,,3,8910.732785,,,,
52371398959,,,,,3,8976.887732,,,,
52371398952,,,,,3,8535.266539,,,,
52371398937,,,,,3,8693.64833,,,,
52371398938,,,,,3,8759.949764,,,,
52371398939,,,,,3,8827.236107,,,,
52371398948,,,,,3,8835.133728,,,,
52371397937,2.78,,,,3,8089.9546,,,,
52371397938,5.57,,,,3,8145.107562,,,,
52371397939,2.78,,,,3,8201.485689,,,,
52371397932,9.7,,,,3,7833.45286,,,,
52371398945,,,,,3,8640.981504,,,,
52371398946,,,,,3,8704.676427,,,,
52371398947,,,,,3,8769.40138,,,,
52371398956,,,,,3,8781.399918,,,,
52371397945,6.4,,,,3,8065.858291,,,,
52371397946,28.75,,,,3,8117.95028,,,,
52371397947,12.78,,,,3,8171.312119,,,,
52371397940,16.06,,,,3,7825.31203,,,,
52371398953,,,,,3,8595.176555,,,,
52371398954,,,,,3,8656.184108,,,,
52371398955,,,,,3,8718.266158,,,,
52371397936,12.94,,,,3,8036.052026,,,,
52371397953,3.2,,,,3,8049.361554,,,,
52371397954,3.2,,,,3,8098.327258,,,,
52371397955,3.2,,,,3,8148.60511,,,,
52371397948,25.45,,,,3,8225.919098,,,,
52371397933,,,,,3,7882.100177,,,,
52371397934,3.2,,,,3,7932.099412,,,,
52371397935,22.6,,,,3,7983.425167,,,,
52371397944,9.6,,,,3,8015.06091,,,,
52371398989,,,,,3,9203.726395,,,,
52371398990,7.6,,,,3,8741.252444,,,,
52371398991,11.4,,,,3,8796.782708,,,,
52371398984,,,,,3,8891.217724,,,,
52371397941,12.93,,,,3,7870.683864,,,,
52371397942,16.17,,,,3,7917.449,,,,
52371397943,,,,,3,7965.582902,,,,
52371397952,6.47,,,,3,8001.732084,,,,
52371398997,,,,,3,9152.947915,,,,
52371398998,,,,,3,9215.942018,,,,
52371398999,,,,,3,9279.91898,,,,
52371398992,,,,,3,8853.443103,,,,
52371398977,,,,,3,8998.622171,,,,
52371398978,,,,,3,9062.690272,,,,
52371398979,,,,,3,9127.742698,,,,
52371398988,,,,,3,9139.215457,,,,
52371399905,,,,,3,9038.957787,,,,
52371399906,,,,,3,9114.243134,,,,
52371399907,,,,,3,9190.336109,,,,
52371399900,,,,,3,8675.373471,,,,
52371398985,,,,,3,8951.668172,,,,
52371398986,,,,,3,9013.165423,,,,
52371398987,,,,,3,9075.6882,,,,
52371398996,,,,,3,9090.957102,,,,
52371396957,,,,,3,7784.462596,,,,
52371396958,,,,,3,7825.054255,,,,
52371396959,,,,,3,7867.100355,,,,
52371396952,,,,,3,7604.106899,,,,
52371396937,,,,,3,7611.377086,,,,
52371396938,,,,,3,7652.887632,,,,
52371396939,16,,,,3,7695.875214,,,,
52371396948,,,,,3,7738.845537,,,,
52371396965,,,,,3,7795.280903,,,,
52371396966,,,,,3,7832.474695,,,,
52371396967,,,,,3,7871.155743,,,,
52371396960,,,,,3,7632.351331,,,,
52371396945,,,,,3,7620.196707,,,,
52371396946,,,,,3,7658.241577,,,,
52371396947,,,,,3,7697.798917,,,,
52371396956,,,,,3,7745.348243,,,,
52371395945,,,,,3,7327.654146,,,,
52371395946,,,,,3,7349.422008,,,,
52371395947,,,,,3,7372.90106,,,,
52371395940,,,,,3,7244.980045,,,,
52371396953,,,,,3,7637.091709,,,,
52371396954,,,,,3,7671.640983,,,,
52371396955,,,,,3,7707.733686,,,,
52371396964,,,,,3,7759.595752,,,,
52371395953,,,,,3,7380.777423,,,,
52371395954,,,,,3,7398.851706,,,,
52371395955,,,,,3,7418.646446,,,,
52371395948,18.63,,,,3,7398.075014,,,,
52371396961,,,,,3,7661.798469,,,,
52371396962,,,,,3,7692.834457,,,,
52371396963,,,,,3,7725.440146,,,,
52371395944,,,,,3,7307.612764,,,,
52371395961,,,,,3,7441.601828,,,,
52371395962,,,,,3,7456.018561,,,,
52371395963,,,,,3,7472.159311,,,,
52371395956,9.32,,,,3,7440.147911,,,,
52371395941,,,,,3,7257.984342,,,,
52371395942,,,,,3,7272.765296,,,,
52371395943,,,,,3,7289.312101,,,,
52371395952,,,,,3,7364.436261,,,,
52371396997,,,,,3,8132.09692,,,,
52371396998,,,,,3,8170.960351,,,,
52371396999,,,,,3,8211.233917,,,,
52371396992,,,,,3,7959.628487,,,,
52371395949,,,,,3,7424.92663,,,,
52371395950,,,,,3,7336.998386,,,,
52371395951,,,,,3,7349.839779,,,,
52371395960,,,,,3,7428.919148,,,,
52371397905,,,,,3,7737.382333,,,,
52371397906,,,,,3,7791.672745,,,,
52371397907,,,,,3,7847.255713,,,,
52371397900,,,,,3,7486.279417,,,,
52371396985,,,,,3,7970.810969,,,,
52371396986,,,,,3,8007.188789,,,,
52371396987,,,,,3,8045.029148,,,,
52371396996,,,,,3,8094.663936,,,,
52371397913,7,,,,3,7715.646554,,,,
52371397914,,,,,3,7766.718392,,,,
52371397915,,,,,3,7819.130795,,,,
52371397908,,,,,3,7904.103972,,,,
52371396993,,,,,3,7991.144817,,,,
52371396994,,,,,3,8024.168608,,,,
52371396995,,,,,3,8058.681328,,,,
52371397904,15,,,,3,7684.411872,,,,
52371397921,3.5,,,,3,7701.863693,,,,
52371397922,29.63,,,,3,7749.648535,,,,
52371397923,20.47,,,,3,7798.819085,,,,
52371397916,6.5,,,,3,7872.856989,,,,
52371397901,9,,,,3,7533.695133,,,,
52371397902,,,,,3,7582.540758,,,,
52371397903,9.5,,,,3,7632.788841,,,,
52371397912,,,,,3,7665.94207,,,,
52371397929,16.7,,,,3,8121.483375,,,,
52371397930,8,,,,3,7740.315226,,,,
